district,city,bedrooms,bathrooms,land_size_m2,building_size_m2,carports,electricity,maid_bedrooms,maid_bathrooms,floors,garages
343,0,2,3,91.0,120.0,2,2200,0,0,2,0
42,0,4,3,100.0,136.0,2,2200,1,1,2,2
29,8,3,2,60.0,78.0,1,5500,0,0,2,0
158,0,3,2,66.0,87.0,1,2200,0,0,2,1
44,0,3,3,77.0,150.0,1,3300,0,0,3,0
74,0,3,3,86.0,115.0,1,2200,0,0,2,1
253,0,4,4,210.0,310.0,1,3300,1,1,2,0
185,0,2,1,97.0,76.0,0,1300,0,0,1,0
294,0,3,4,91.0,165.0,2,2200,1,0,3,0
166,0,3,3,118.0,156.0,2,2200,1,1,2,0
6,8,3,3,225.0,120.0,1,2200,0,1,2,0
150,0,3,2,112.0,65.0,1,2200,1,1,1,1
174,0,3,2,72.0,90.0,1,2200,0,0,2,2
46,0,3,2,75.0,99.0,1,1300,1,1,1,1
359,0,2,2,119.0,100.0,1,1300,0,0,2,1
31,0,3,2,66.0,87.0,1,2200,0,0,2,0
184,0,5,4,487.0,550.0,3,4400,0,0,2,1
45,0,3,3,78.0,83.0,2,2200,0,0,2,0
144,0,2,2,60.0,48.0,1,2200,1,0,1,0
22,8,4,4,240.0,350.0,2,5500,2,1,2,2
